,leaf,compl,spec,area,perim,tip,base,l.max,r.max,EFN1.type,EFN1.side,EFN1.max.1,EFN1.bowl.max.1,EFN1.bowl.max.2,EFN1.max.2,EFN1.min.1,EFN1.bowl.min.1,EFN1.bowl.min.2,EFN1.min.2,EFN1.vein,EFN1.margin,EFN1.base,EFN1.tip,EFN2.type,EFN2.side,EFN2.max.1,EFN2.bowl.max.1,EFN2.bowl.max.2,EFN2.max.2,EFN2.min.1,EFN2.bowl.min.1,EFN2.bowl.min.2,EFN2.min.2,EFN2.vein,EFN2.margin,EFN2.base,EFN2.tip,EFN3.type,EFN3.side,EFN3.max.1,EFN3.bowl.max.1,EFN3.bowl.max.2,EFN3.max.2,EFN3.min.1,EFN3.bowl.min.1,EFN3.bowl.min.2,EFN3.min.2,EFN3.vein,EFN3.margin,EFN3.base,EFN3.tip,EFN4.type,EFN4.side,EFN4.max.1,EFN4.bowl.max.1,EFN4.bowl.max.2,EFN4.max.2,EFN4.min.1,EFN4.bowl.min.1,EFN4.bowl.min.2,EFN4.min.2,EFN4.vein,EFN4.margin,EFN4.base,EFN4.tip,EFN5.type,EFN5.side,EFN5.max.1,EFN5.bowl.max.1,EFN5.bowl.max.2,EFN5.max.2,EFN5.min.1,EFN5.bowl.min.1,EFN5.bowl.min.2,EFN5.min.2,EFN5.vein,EFN5.margin,EFN5.base,EFN5.tip,EFN6.type,EFN6.side,EFN6.max.1,EFN6.bowl.max.1,EFN6.bowl.max.2,EFN6.max.2,EFN6.min.1,EFN6.bowl.min.1,EFN6.bowl.min.2,EFN6.min.2,EFN6.vein,EFN6.margin,EFN6.base,EFN6.tip,EFN7.type,EFN7.side,EFN7.max.1,EFN7.bowl.max.1,EFN7.bowl.max.2,EFN7.max.2,EFN7.min.1,EFN7.bowl.min.1,EFN7.bowl.min.2,EFN7.min.2,EFN7.vein,EFN7.margin,EFN7.base,EFN7.tip,EFN8.type,EFN8.side,EFN8.max.1,EFN8.bowl.max.1,EFN8.bowl.max.2,EFN8.max.2,EFN8.min.1,EFN8.bowl.min.1,EFN8.bowl.min.2,EFN8.min.2,EFN8.vein,EFN8.margin,EFN8.base,EFN8.tip,EFN9.type,EFN9.side,EFN9.max.1,EFN9.bowl.max.1,EFN9.bowl.max.2,EFN9.max.2,EFN9.min.1,EFN9.bowl.min.1,EFN9.bowl.min.2,EFN9.min.2,EFN9.vein,EFN9.margin,EFN9.base,EFN9.tip,EFN10.type,EFN10.side,EFN10.max.1,EFN10.bowl.max.1,EFN10.bowl.max.2,EFN10.max.2,EFN10.min.1,EFN10.bowl.min.1,EFN10.bowl.min.2,EFN10.min.2,EFN10.vein,EFN10.margin,EFN10.base,EFN10.tip,EFN11.type,EFN11.side,EFN11.max.1,EFN11.bowl.max.1,EFN11.bowl.max.2,EFN11.max.2,EFN11.min.1,EFN11.bowl.min.1,EFN11.bowl.min.2,EFN11.min.2,EFN11.vein,EFN11.margin,EFN11.base,EFN11.tip,EFN12.type,EFN12.side,EFN12.max.1,EFN12.bowl.max.1,EFN12.bowl.max.2,EFN12.max.2,EFN12.min.1,EFN12.bowl.min.1,EFN12.bowl.min.2,EFN12.min.2,EFN12.vein,EFN12.margin,EFN12.base,EFN12.tip,EFN13.type,EFN13.side,EFN13.max.1,EFN13.bowl.max.1,EFN13.bowl.max.2,EFN13.max.2,EFN13.min.1,EFN13.bowl.min.1,EFN13.bowl.min.2,EFN13.min.2,EFN13.vein,EFN13.margin,EFN13.base,EFN13.tip,EFN14.type,EFN14.side,EFN14.max.1,EFN14.bowl.max.1,EFN14.bowl.max.2,EFN14.max.2,EFN14.min.1,EFN14.bowl.min.1,EFN14.bowl.min.2,EFN14.min.2,EFN14.vein,EFN14.margin,EFN14.base,EFN14.tip,EFN15.type,EFN15.side,EFN15.max.1,EFN15.bowl.max.1,EFN15.bowl.max.2,EFN15.max.2,EFN15.min.1,EFN15.bowl.min.1,EFN15.bowl.min.2,EFN15.min.2,EFN15.vein,EFN15.margin,EFN15.base,EFN15.tip,EFN16.type,EFN16.side,EFN16.max.1,EFN16.bowl.max.1,EFN16.bowl.max.2,EFN16.max.2,EFN16.min.1,EFN16.bowl.min.1,EFN16.bowl.min.2,EFN16.min.2,EFN16.vein,EFN16.margin,EFN16.base,EFN16.tip,EFN17.type,EFN17.side,EFN17.max.1,EFN17.bowl.max.1,EFN17.bowl.max.2,EFN17.max.2,EFN17.min.1,EFN17.bowl.min.1,EFN17.bowl.min.2,EFN17.min.2,EFN17.vein,EFN17.margin,EFN17.base,EFN17.tip
y,,,,,,128.968,150.297,150.961,136.356,,,141.196,141.492,141.626,142.049,NA,141.556,141.556,NA,140.73,141.577,141.549,141.633,,,145.549,145.958,146.142,146.339,NA,NA,NA,NA,145.351,146.043,145.992,146.161,,,153.236,153.501,153.522,153.564,153.31,153.451,153.578,153.776,150.421,153.506,NA,NA,,,154.062,154.114,154.104,154.03,153.86,154.046,154.162,154.305,153.352,154.083,NA,NA,,,153.575,153.638,153.606,153.141,NA,153.511,153.695,NA,152.58,153.384,153.204,153.561,,,144.166,NA,NA,143.524,144.025,NA,NA,143.785,145.196,143.806,NA,NA,,,141.845,141.365,141.21,141.076,141.556,141.393,141.259,141.203,142.995,141.443,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,Estimated,,Estimated,,,,0.91281652,#VALUE!,0.134729358,0.127,0.432240674,,,,,,,,,,0.859663306,#VALUE!,0.194812731,#VALUE!,0.412234157,,,,,,,,,,0.967307604,0.48095426,0.198116128,0.130268953,#VALUE!,,,,,,,,,,0.942543368,0.446977628,0.169295599,0.117098249,#VALUE!,,,,,,,,,,1.345894498,#VALUE!,0.24509794,0.192626582,0.364588809,,,,,,,,,,0.97515127,0.404011138,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,1.202907311,0.534988785,0.239820766,0.211009478,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,5,N,anabaptista_Croat89918,,,120.629,183.48,148.315,157.967,M,L,127.967,127.889,128.044,128.637,NA,128.03,127.914,NA,129.988,128.27,128.228,127.96,M,R,141.048,140.37,140.152,139.785,NA,140.293,140.271,NA,141.097,140.307,140.314,140.279,M,R,132.53,131.741,131.588,131.313,NA,NA,NA,NA,131.884,131.657,132.89,131.778,M,R,126.402,125.788,125.666,125.434,NA,NA,NA,NA,127.952,125.92,125.952,125.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,158.157,185.307,182.795,160.697,,,169.093,169.552,169.693,169.778,NA,169.601,169.668,NA,168.748,169.446,169.432,169.64,,,154.517,154.002,154.002,154.474,NA,154.044,153.924,NA,156.034,154.457,154.573,154.002,,,154.57,154.453,154.538,154.929,NA,NA,NA,NA,154.935,154.49,156.554,154.734,,,156.427,156.374,156.459,156.972,NA,NA,NA,NA,157.797,156.723,156.697,156.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.110877581,#VALUE!,0.148690955,#VALUE!,0.36906639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,6,Y,anabaptista_Croat89918,,,97.007,123.486,118.766,96.922,MLa,L,123.783,123.941,123.973,123.952,123.74,123.825,124.068,124.248,122.943,123.984,NA,NA,M,R,112.321,111.749,111.485,111.114,111.675,NA,NA,111.598,112.79,111.725,111.76,111.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,219.329,165.806,197.612,187.283,,,181.07,180.583,180.351,179.832,180.478,180.467,180.499,180.52,180.319,180.509,NA,NA,,,171.08,171.08,171.122,171.651,171.21,NA,NA,171.055,173.179,171.365,171.45,171.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,Estimated,,,Estimated,,,1.249481893,0.509733264,0.234196499,0.24509794,,,,,,,,,,,1.33524904,0.173072239,0.267320033,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,7,Y,anabaptista_Croat89918,,,279.866,306.917,287.38,306.557,M,L,280.628,280.543,280.554,280.702,280.818,280.659,280.479,280.416,283.538,280.564,NA,NA,M,L,290.47,290.735,290.872,291.105,291.063,290.879,290.752,290.632,294.273,290.788,NA,NA,MLa,L,300.239,300.609,300.856,301.315,301.061,300.863,300.651,300.588,302.288,300.736,NA,NA,MLa,R,310.007,NA,NA,310.317,309.845,NA,NA,310.296,308.716,310.219,NA,NA,MLa,R,310.903,310.917,310.938,310.995,310.67,310.762,311.023,311.192,309.626,311.018,NA,NA,MLa,R,310.868,310.776,310.698,310.6,310.6,310.677,310.776,310.868,309.852,310.727,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,186.732,248.645,226.166,216.387,,,202.152,202.576,202.83,203.285,202.724,202.734,202.734,202.734,202.025,202.734,NA,NA,,,231.034,231.574,231.775,232.177,231.532,231.606,231.711,231.803,228.946,231.727,NA,NA,,,243.3,243.678,243.946,244.433,243.537,243.678,243.939,243.995,242.739,243.84,NA,NA,,,245.59,NA,NA,244.595,245.004,NA,NA,245.089,244.912,245.082,NA,NA,,,240.863,240.108,239.783,239.374,239.945,239.945,239.952,239.974,239.995,239.977,NA,NA,,,233.497,232.77,232.523,232.163,232.727,232.713,232.668,232.685,232.967,232.685,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
