,leaf,compl,spec,area,perim,tip,base,l.max,r.max,EFN1.type,EFN1.side,EFN1.max.1,EFN1.bowl.max.1,EFN1.bowl.max.2,EFN1.max.2,EFN1.min.1,EFN1.bowl.min.1,EFN1.bowl.min.2,EFN1.min.2,EFN1.vein,EFN1.margin,EFN1.base,EFN1.tip,EFN2.type,EFN2.side,EFN2.max.1,EFN2.bowl.max.1,EFN2.bowl.max.2,EFN2.max.2,EFN2.min.1,EFN2.bowl.min.1,EFN2.bowl.min.2,EFN2.min.2,EFN2.vein,EFN2.margin,EFN2.base,EFN2.tip,EFN3.type,EFN3.side,EFN3.max.1,EFN3.bowl.max.1,EFN3.bowl.max.2,EFN3.max.2,EFN3.min.1,EFN3.bowl.min.1,EFN3.bowl.min.2,EFN3.min.2,EFN3.vein,EFN3.margin,EFN3.base,EFN3.tip,EFN4.type,EFN4.side,EFN4.max.1,EFN4.bowl.max.1,EFN4.bowl.max.2,EFN4.max.2,EFN4.min.1,EFN4.bowl.min.1,EFN4.bowl.min.2,EFN4.min.2,EFN4.vein,EFN4.margin,EFN4.base,EFN4.tip,EFN5.type,EFN5.side,EFN5.max.1,EFN5.bowl.max.1,EFN5.bowl.max.2,EFN5.max.2,EFN5.min.1,EFN5.bowl.min.1,EFN5.bowl.min.2,EFN5.min.2,EFN5.vein,EFN5.margin,EFN5.base,EFN5.tip,EFN6.type,EFN6.side,EFN6.max.1,EFN6.bowl.max.1,EFN6.bowl.max.2,EFN6.max.2,EFN6.min.1,EFN6.bowl.min.1,EFN6.bowl.min.2,EFN6.min.2,EFN6.vein,EFN6.margin,EFN6.base,EFN6.tip,EFN7.type,EFN7.side,EFN7.max.1,EFN7.bowl.max.1,EFN7.bowl.max.2,EFN7.max.2,EFN7.min.1,EFN7.bowl.min.1,EFN7.bowl.min.2,EFN7.min.2,EFN7.vein,EFN7.margin,EFN7.base,EFN7.tip,EFN8.type,EFN8.side,EFN8.max.1,EFN8.bowl.max.1,EFN8.bowl.max.2,EFN8.max.2,EFN8.min.1,EFN8.bowl.min.1,EFN8.bowl.min.2,EFN8.min.2,EFN8.vein,EFN8.margin,EFN8.base,EFN8.tip,EFN9.type,EFN9.side,EFN9.max.1,EFN9.bowl.max.1,EFN9.bowl.max.2,EFN9.max.2,EFN9.min.1,EFN9.bowl.min.1,EFN9.bowl.min.2,EFN9.min.2,EFN9.vein,EFN9.margin,EFN9.base,EFN9.tip,EFN10.type,EFN10.side,EFN10.max.1,EFN10.bowl.max.1,EFN10.bowl.max.2,EFN10.max.2,EFN10.min.1,EFN10.bowl.min.1,EFN10.bowl.min.2,EFN10.min.2,EFN10.vein,EFN10.margin,EFN10.base,EFN10.tip,EFN11.type,EFN11.side,EFN11.max.1,EFN11.bowl.max.1,EFN11.bowl.max.2,EFN11.max.2,EFN11.min.1,EFN11.bowl.min.1,EFN11.bowl.min.2,EFN11.min.2,EFN11.vein,EFN11.margin,EFN11.base,EFN11.tip,EFN12.type,EFN12.side,EFN12.max.1,EFN12.bowl.max.1,EFN12.bowl.max.2,EFN12.max.2,EFN12.min.1,EFN12.bowl.min.1,EFN12.bowl.min.2,EFN12.min.2,EFN12.vein,EFN12.margin,EFN12.base,EFN12.tip,EFN13.type,EFN13.side,EFN13.max.1,EFN13.bowl.max.1,EFN13.bowl.max.2,EFN13.max.2,EFN13.min.1,EFN13.bowl.min.1,EFN13.bowl.min.2,EFN13.min.2,EFN13.vein,EFN13.margin,EFN13.base,EFN13.tip,EFN14.type,EFN14.side,EFN14.max.1,EFN14.bowl.max.1,EFN14.bowl.max.2,EFN14.max.2,EFN14.min.1,EFN14.bowl.min.1,EFN14.bowl.min.2,EFN14.min.2,EFN14.vein,EFN14.margin,EFN14.base,EFN14.tip,EFN15.type,EFN15.side,EFN15.max.1,EFN15.bowl.max.1,EFN15.bowl.max.2,EFN15.max.2,EFN15.min.1,EFN15.bowl.min.1,EFN15.bowl.min.2,EFN15.min.2,EFN15.vein,EFN15.margin,EFN15.base,EFN15.tip,EFN16.type,EFN16.side,EFN16.max.1,EFN16.bowl.max.1,EFN16.bowl.max.2,EFN16.max.2,EFN16.min.1,EFN16.bowl.min.1,EFN16.bowl.min.2,EFN16.min.2,EFN16.vein,EFN16.margin,EFN16.base,EFN16.tip,EFN17.type,EFN17.side,EFN17.max.1,EFN17.bowl.max.1,EFN17.bowl.max.2,EFN17.max.2,EFN17.min.1,EFN17.bowl.min.1,EFN17.bowl.min.2,EFN17.min.2,EFN17.vein,EFN17.margin,EFN17.base,EFN17.tip
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,58,M,corylifolium_100904,,,192.363,192.574,183.684,200.85,La,L,189.766,189.886,190.105,190.218,190.239,190.147,189.886,189.766,190.669,189.336,NA,NA,La,R,194.802,194.887,195.146,195.215,194.855,194.924,195.12,195.215,194.273,196.083,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,138.493,164.274,157.205,153.818,,,163.893,163.992,164.239,164.324,163.922,163.999,164.211,164.31,163.548,164.571,NA,NA,,,162.581,162.502,162.269,162.211,162.221,162.29,162.496,162.586,161.888,163.052,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,Estimated,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,59,N,corylifolium_100904,,,289.92,273.05,272.817,289.814,La,L,270.094,270.192,270.482,270.566,270.397,270.383,270.305,270.298,271.399,269.635,NA,NA,La,L,269.923,269.933,269.938,269.954,270.171,270.092,269.801,269.769,271.769,269.753,NA,NA,La,L,270.875,270.912,270.981,270.997,271.171,271.103,270.748,270.674,272.209,270.573,NA,NA,La,R,275.172,275.214,275.447,275.495,275.511,275.447,275.225,275.172,275.569,275.204,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,137.731,160.062,144.695,157.586,,,155.25,155.286,155.356,155.37,155.116,155.18,155.448,155.511,155.116,155.392,NA,NA,,,156.258,156.363,156.644,156.692,156.475,156.496,156.517,156.522,156.168,156.533,NA,NA,,,157.237,157.321,157.649,157.718,157.443,157.459,157.501,157.501,156.993,157.824,NA,NA,,,160.385,160.48,160.803,160.845,160.47,160.523,160.745,160.782,160.004,161.47,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,60,N,corylifolium_100904,,,85.153,117.877,118.131,,La,L,120.015,119.966,119.881,119.839,119.542,119.662,120.121,120.283,118.78,122.753,NA,NA,La,L,121.348,121.271,121.01,120.953,121.038,121.094,121.193,121.264,120.883,121.719,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,202.544,176.657,203.835,,,,181.723,181.575,181.25,181.165,181.483,181.469,181.356,181.321,182.083,180.305,NA,NA,,,179.571,179.543,179.416,179.387,179.712,179.613,179.331,179.268,179.895,178.922,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,Estimated,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,61,Y,costaricanum_Donoghue64722,,,200.173,270.023,230.801,250.74,MLa,L,208.435,208.541,208.661,208.795,208.866,208.781,208.435,208.365,211.942,208.548,NA,NA,MLa,L,234.527,234.703,234.844,234.985,234.943,234.858,234.724,234.604,236.326,234.765,NA,NA,MLa,L,242.417,242.655,242.866,243.141,242.845,242.798,242.76,242.697,243.586,242.75,NA,NA,MLa,L,252,252.211,252.381,252.608,252.307,252.307,252.291,252.275,252.857,252.285,NA,NA,MLa,L,261.747,NA,NA,262.461,261.996,NA,NA,262.144,261.006,262.11,NA,NA,MLa,R,267.152,NA,NA,267.779,267.356,NA,NA,267.497,266.277,267.476,NA,NA,MLa',R,269.536,NA,NA,269.356,269.272,NA,NA,269.52,268.605,269.483,NA,NA,MLa,R,268.111,267.991,267.85,267.688,267.695,267.871,267.977,268.041,265.479,267.959,NA,NA,MLa,R,266.197,NA,NA,265.779,265.832,NA,NA,266.102,264.567,266.065,NA,NA,MLa,R,261.634,261.366,261.19,261.034,261.14,261.19,261.295,261.352,259.482,261.31,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,89.302,136.708,134.726,109.326,,,111.379,111.746,112.127,112.402,111.929,111.943,111.986,112.007,111.696,111.929,NA,NA,,,137.153,137.294,137.407,137.633,137.216,137.28,137.463,137.569,135.901,137.372,NA,NA,,,141.388,141.399,141.43,141.568,141.277,141.367,141.483,141.6,136.708,141.482,NA,NA,,,142.023,142.076,142.097,142.139,141.88,142.055,142.15,142.288,136.525,142.198,NA,NA,,,140.563,NA,NA,140.287,140.192,NA,NA,140.499,138.769,140.441,NA,NA,,,138.225,NA,NA,137.88,137.936,NA,NA,138.134,136.102,138.098,NA,NA,,,134.541,NA,NA,134.033,134.313,NA,NA,134.181,134.758,134.281,NA,NA,,,130.852,130.619,130.478,130.246,130.732,130.598,130.528,130.478,131.537,130.572,NA,NA,,,126.54,NA,NA,126.085,126.476,NA,NA,126.222,128.027,126.286,NA,NA,,,119.338,119.239,119.154,118.964,119.38,119.295,119.133,118.992,120.671,119.182,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,62,N,costaricanum_Donoghue64722,,,224.091,295.924,249.364,279.204,MLa,L,263.744,263.998,264.202,264.407,264.294,264.231,263.977,263.927,269.24,264.149,NA,NA,MLa,L,272.013,NA,NA,272.697,NA,NA,NA,NA,276.359,272.288,272.337,272.401,MLa,L,278.687,279.097,279.344,279.548,NA,NA,NA,NA,279.887,279.125,279.051,279.215,MLa,L,284.57,284.882,285.147,285.39,NA,NA,NA,NA,285.491,285.004,284.956,285.016,MLa,R,295.55,295.529,295.501,295.444,NA,NA,NA,NA,294.153,295.571,295.61,295.533,MLa,R,295.268,295.268,295.148,295.134,294.936,294.993,295.338,295.416,293.687,295.317,NA,NA,MLa,R,295.889,295.846,295.804,295.839,295.571,295.691,295.924,296.03,295.148,295.91,NA,NA,MLa,R,294.245,294.083,293.829,293.659,293.864,293.934,294.005,294.061,293.306,294.068,NA,NA,MLa,R,288.452,288.382,288.184,288.128,288.212,288.269,288.332,288.361,282.13,288.311,NA,NA,MLa,R,279.358,279.181,278.97,278.751,278.858,278.929,279.125,279.153,277.982,279.188,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,78.063,146.452,130.704,100.954,,,140.18,140.363,140.568,140.744,140.279,140.335,140.533,140.596,136.461,140.43,NA,NA,,,144.138,NA,NA,144.794,NA,NA,NA,NA,140.229,144.462,144.526,144.448,,,146.607,146.685,146.826,147.129,NA,NA,NA,NA,146.283,146.95,146.918,146.775,,,148.193,148.23,148.341,148.384,NA,NA,NA,NA,146.902,148.415,148.428,148.311,,,144.935,144.787,144.589,144.343,NA,NA,NA,NA,144.688,144.625,144.706,144.709,,,138.225,138.141,137.731,137.647,138.077,138.07,137.816,137.788,138.952,137.901,NA,NA,,,133.159,132.828,132.623,132.362,132.786,132.75,132.687,132.666,132.853,132.743,NA,NA,,,124.622,124.523,124.382,124.128,124.693,124.608,124.386,124.262,125.984,124.396,NA,NA,,,110.455,110.377,110.236,110.194,110.483,110.405,110.285,110.257,114.025,110.337,NA,NA,,,101.388,101.325,101.198,101.036,101.478,101.412,101.191,101.127,104.281,101.15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,Estimated,,,,,,,,,,,,Estimated,,,,,,,,,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,63,Y,costaricanum_Donoghue64722,,,119.782,136.306,121.814,138.769,MLa,L,128.736,128.877,129.145,129.23,NA,NA,NA,NA,130.866,129.039,128.926,129.027,MLa,R,137.527,137.675,137.76,137.873,NA,NA,NA,NA,135.551,137.753,137.79,137.684,MLa,R,140.388,140.335,140.15,140.113,140.039,140.092,140.319,140.372,137.054,140.222,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,113.644,152.195,135.975,129.879,,,146.946,147.165,147.525,147.595,NA,NA,NA,NA,145.937,147.383,147.473,147.442,,,146.713,146.283,146.015,145.944,NA,NA,NA,NA,145.718,146.163,146.219,146.193,,,138.546,138.451,138.139,138.017,138.382,138.345,138.266,138.245,138.398,138.321,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,64,N,costaricanum_Donoghue64722,,,118.131,134.853,120.375,NA,MLa,L,131.967,132.073,132.323,132.397,NA,NA,NA,NA,NA,132.161,132.122,132.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,114.533,152.844,139.446,NA,,,150.227,150.29,150.553,150.594,NA,NA,NA,NA,NA,150.393,150.428,150.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,65,Y,costaricanum_Donoghue64722,,,150.326,150.918,139.065,165.735,MLa,L,142.67,142.762,142.84,142.868,NA,NA,NA,NA,132.397,142.79,142.72,142.811,MLa,L,148.188,148.283,148.484,148.558,NA,NA,NA,NA,132.397,148.378,148.299,148.371,MLa,R,154.919,155.009,155.205,155.321,NA,NA,NA,NA,153.464,155.152,155.116,155.095,MLa,R,161.452,161.502,161.551,161.6,161.353,161.443,161.57,161.65,158.623,161.569,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,114.935,169.291,146.516,146.177,,,155.088,155.356,155.695,155.808,NA,NA,NA,NA,150.594,155.48,155.536,155.522,,,164.052,164.142,164.476,164.618,NA,NA,NA,NA,150.594,164.343,164.349,164.313,,,166.306,166.206,166.037,165.973,NA,NA,NA,NA,165.285,166.153,166.176,166.148,,,158.059,157.889,157.72,157.6,157.75,157.771,157.803,157.819,156.644,157.812,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,66,M,costaricanum_Donoghue64722,,,182.097,234.774,213.434,214.291,MLa,L,222.694,222.751,223.047,223.195,NA,NA,NA,NA,222.603,222.943,NA,NA,MLa,L,227.515,227.61,227.901,228.023,NA,NA,NA,NA,226.621,227.759,227.796,227.764,MLa,L,231.145,231.235,231.558,231.637,231.341,231.352,231.452,231.468,229.828,231.422,NA,NA,MLa,R,233.588,NA,NA,233.017,NA,NA,NA,NA,232.735,233.294,233.327,233.299,MLa,R,231.685,231.653,231.373,231.346,231.399,231.431,231.553,231.569,230.928,231.542,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,128.164,139.023,147.754,125.836,,,146.375,146.375,146.269,146.248,NA,NA,NA,NA,144.272,146.389,NA,NA,,,143.997,143.933,143.769,143.695,NA,NA,NA,NA,141.764,143.907,143.931,143.865,,,141.547,141.536,141.383,141.362,141.266,141.293,141.557,141.61,139.245,141.478,NA,NA,,,137.132,NA,NA,136.934,NA,NA,NA,NA,137.95,137.044,136.984,137.044,,,135.789,135.789,135.578,135.541,135.842,135.811,135.636,135.615,136.488,135.668,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,67,N,costaricanum_Donoghue64722,,,106.807,129.886,NA,124.65,MLa,R,129.431,129.413,129.3,129.268,129.212,129.261,129.406,129.424,128.464,129.381,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,138.261,158.863,NA,144.505,,,156.397,156.309,156.079,155.991,156.277,156.27,156.164,156.161,156.633,156.192,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,68,Y,costaricanum_Donoghue64722,,,94.954,140.194,108.959,125.942,MLa,L,121.264,121.454,121.708,121.983,NA,NA,NA,NA,122.64,121.567,121.539,121.571,MLa,L,131.212,131.367,131.777,132.073,131.558,131.565,131.565,131.565,131.565,131.54,NA,NA,MLa,R,138.423,NA,NA,138.261,NA,NA,NA,NA,136.828,138.345,138.388,138.327,MLa,R,134.789,NA,NA,134.324,NA,NA,NA,NA,132.489,134.62,134.646,134.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
